taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Linanthus,ITIS:31241,genus,ITIS:31241,accepted,2012-01-27,NA,NA,NA,NA,NA,NA,,,NA
Linanthus bigelovii,ITIS:31292,species,ITIS:31292,accepted,2012-01-27,Plantae,NA,Magnoliopsida,Ericales,Polemoniaceae,Linanthus,bigelovii,,Bigelows linanthus
Linanthus demissus,ITIS:31297,species,ITIS:31297,accepted,2012-01-27,Plantae,NA,Magnoliopsida,Ericales,Polemoniaceae,Linanthus,demissus,,desertsnow
Loeflingia squarrosa,ITIS:20304,species,ITIS:20304,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Caryophyllaceae,Loeflingia,squarrosa,,spreading pygmyleaf
Logfia,ITIS:37955,genus,ITIS:37955,accepted,2010-10-05,NA,NA,NA,NA,NA,NA,,,cottonrose
Logfia arizonica,ITIS:780424,species,ITIS:780424,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Logfia,arizonica,,Arizona cottonrose
Logfia depressa,ITIS:780425,species,ITIS:780425,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Logfia,depressa,,dwarf cottonrose
Logfia filaginoides,ITIS:780426,species,ITIS:780426,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Logfia,filaginoides,,California cottonrose
Lotus,ITIS:26361,genus,ITIS:26361,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,trefoil
Lotus humistratus,ITIS:26385,species,ITIS:820049,synonym,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Acmispon,humistratus,,foothill deervetch
Lotus salsuginosus,ITIS:26402,species,ITIS:820052,synonym,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Acmispon,maritimus,,coastal birds foot trefoil
Lotus strigosus,ITIS:26405,species,ITIS:819968,synonym,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Acmispon,strigosus,,strigose birds foot trefoil
Lupinus,ITIS:25916,genus,ITIS:25916,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,lupine
Lupinus concinnus,ITIS:25989,species,ITIS:25989,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Lupinus,concinnus,,bajada lupine
Lupinus sparsiflorus,ITIS:26121,species,ITIS:26121,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Lupinus,sparsiflorus,,Coulters lupine
Lycium,ITIS:30531,genus,ITIS:30531,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,wolfberry species
Mammillaria grahamii,ITIS:19780,species,ITIS:19780,accepted,2013-06-12,Plantae,NA,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,grahamii,,Grahams pincushion cactus
Matthiola parviflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mentzelia affinis,ITIS:503755,species,ITIS:503755,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Cornales,Loasaceae,Mentzelia,affinis,,yellowcomet
Minuartia douglasii,ITIS:19991,species,ITIS:19991,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Caryophyllaceae,Minuartia,douglasii,,Douglas stitchwort
Monolepis nuttalliana,ITIS:20700,species,ITIS:20700,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Amaranthaceae,Monolepis,nuttalliana,,patota
Monoptilon belliodes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
